Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
SVEP1,SeverAD,Control,7,8,1.2900744406958,3.20814192146241,12.8145400635559,0.00697160320957761,0.11964537511929,0.615263255594996,2.17643355685714,1.8089792415,0,two.sided,Welch Two Sample t-test,0.675445034777526
AMPH,SeverAD,Control,7,8,-1.68612014461703,-3.2041468154838,12.8715947073429,0.00698991058327463,-1.26240389878309,-0.245010779788337,6.04679728571429,6.800504625,0,two.sided,Welch Two Sample t-test,0.675445034777526
WASF1,SeverAD,Control,7,8,-1.26848875676031,-3.30008632590068,11.1021902447315,0.00699357134557451,-0.57169094067541,-0.114530523610306,9.09358414285714,9.436694875,0,two.sided,Welch Two Sample t-test,0.675445034777526
MED13L,SeverAD,Control,7,8,1.28394233657749,3.336733614095,10.5631000122744,0.00699733161766228,0.121527623574557,0.599633197854015,7.37400328571429,7.013422875,0,two.sided,Welch Two Sample t-test,0.675445034777526
C14orf93,SeverAD,Control,7,8,-1.37366537578141,-3.28938029317986,11.2644734429467,0.00699855695708438,-0.763631724524962,-0.152429489760752,1.64265014285714,2.10068075,0,two.sided,Welch Two Sample t-test,0.675445034777526
CDKN2A,SeverAD,Control,7,8,1.22497783314293,3.26628928938606,11.6205245558608,0.0070198096392311,0.0967602555321173,0.488751030182168,2.86234114285714,2.5695855,0,two.sided,Welch Two Sample t-test,0.675445034777526
SLC41A3,SeverAD,Control,7,8,-1.36643941948203,-3.32759430735885,10.6640438306011,0.00702035165186987,-0.749494874872154,-0.151348125127845,3.819729,4.2701505,0,two.sided,Welch Two Sample t-test,0.675445034777526
BEND6,SeverAD,Control,7,8,-1.67187110462652,-3.37049512554476,10.0852861822008,0.00703238028229985,-1.23106295062637,-0.251864299373633,5.474836,6.216299625,0,two.sided,Welch Two Sample t-test,0.675445034777526
SCRT1,SeverAD,Control,7,8,1.22406524994034,3.42687504565568,9.42701723813943,0.00704952140562814,0.100456978337646,0.482903950233783,2.76260971428571,2.47092925,0,two.sided,Welch Two Sample t-test,0.675445034777526
PPIA,SeverAD,Control,7,8,-1.49519234634566,-3.68166873951199,7.42101062237787,0.00707561525863927,-0.948816069943675,-0.211846108627753,8.53531528571429,9.115646375,0,two.sided,Welch Two Sample t-test,0.675445034777526
TRIM36,SeverAD,Control,7,8,-1.95861340095255,-3.2238515507241,12.3061183933939,0.0070897032787928,-1.62348209706011,-0.316183224368461,4.73379171428571,5.703624375,0,two.sided,Welch Two Sample t-test,0.675445034777526
MACROH2A2,SeverAD,Control,7,8,1.3180405770831,3.21606360334922,12.4451310766973,0.00710122635943853,0.129557838355107,0.667231733073466,4.73502328571429,4.3366285,0,two.sided,Welch Two Sample t-test,0.675445034777526
